content,fileName,fileUrl,regdate,regname,seq,subject,viewCount
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.",반려동물 시장 및 특허기술동향.pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=725&file_seq=1,2017.12.06,김수연,725,반려동물 시장과 특허동향,948

"국내 저알콜 시장과 특허현황 보고서는 농업기술실용화재단에서 작성하였으며,
&nbsp;
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.",국내 저알콜시장과 특허현황.pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=724&file_seq=1,2017.12.06,김수연,724,국내 저알콜시장과 특허현황,632

"국내 감미료 시장과 특허현황 보고서는 농업기술실용화재단에서 작성하였으며,
&nbsp;
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.",국내 감미료 시장과 특허기술현황.pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=723&file_seq=1,2017.12.06,김수연,723,국내 감미료 시장과 특허기술현황,599

"국내 조미료 시장과 특허현황 보고서는 농업기술실용화재단에서 작성하였으며,
&nbsp;
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.",국내 조미료 시장과 특허기술현황.pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=722&file_seq=1,2017.09.26,김수연,722,국내 조미료 시장과 특허현황,738

"국내 영유아식 시장 및 특허기술 현황 보고서는 농업기술실용화재단에서 작성하였으며,
&nbsp;
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.",국내 영유아식 시장 및 특허기술현황.pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=721&file_seq=1,2017.09.26,김수연,721,국내 영유아식 시장 및 특허기술 현황,679

"FODMAPS 특허기술현황 보고서는 농업기술실용화재단에서 작성하였으며,
&nbsp;
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.",FODMAPs 특허기술현황.pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=720&file_seq=1,2017.09.26,김수연,720,FODMAPS 특허기술현황,566

"국내 HMR시장현황과 특허기술동향보고서는 농업기술실용화재단에서 작성하였으며,
&nbsp;
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.",국내 HMR 시장현황 및 특허기술 동향.pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=719&file_seq=1,2017.09.26,김수연,719,국내 HMR시장현황과 특허기술동향,926

"고령친화식품산업 특허기술현황과 동향보고서는 농업기술실용화재단에서 작성하였으며,
&nbsp;
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.",고령친화식품산업 특허기술 현황 및 동향.pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=718&file_seq=1,2017.09.26,김수연,718,고령친화식품산업 특허기술 현황 및 동향,804

"이번 쌀가공식품 국내 시장 및 특허동향보고서는 농업기술실용화재단에서 작성하였으며,
&nbsp;
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
담당 : 기술평가팀 김정은 (jekim@efact.or.kr,  031-8012-7244)","쌀가공식품 국내시장 및 특허동향_김수연,김정은.pdf",http://www.fact.or.kr/action.do?action=farmtech%24file&seq=717&file_seq=1,2017.06.14,김정은,717,쌀가공식품 국내 시장 및 특허동향,961

"이번 식용곤충 특허기술 및 시장동향보고서는 농업기술실용화재단에서 작성하였으며,
&nbsp;
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
담당 : 기술평가팀 김정은 (jekim@efact.or.kr, 
031-8012-7244)",식용곤충 특허기술 및 시장동향.pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=716&file_seq=1,2017.05.22,김정은,716,식용곤충 특허기술 및 시장동향,899

"본 보고서는 농업기술실용화재단에서 작성하였으며,&nbsp;담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;향후 연구개발 방향 설정에 도움이 되고자 최근 공개 또는 등록된 한국, 미국, 일본, 중국, 유럽, 국제출원(PCT)의 특허(실용신안)를 기반으로 농식품 관련 전 세계 특허동향 및 국내 특허동향을 을 분석하였습니다.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;담당 : 기술평가팀 김정은 (jekim@efact.or.kr, 031-8012-7244)
&nbsp;",[FACT]농·식품분야 최신특허 동향(`16.8.1~`16.8.31).pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=715&file_seq=1,2016.12.08,김정은,715,[FACT]농·식품분야 최신특허 동향(`16.9월),1323

"본 보고서는 농업기술실용화재단에서 작성하였으며,&nbsp;담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;향후 연구개발 방향 설정에 도움이 되고자 최근 공개 또는 등록된 한국, 미국, 일본, 중국, 유럽, 국제출원(PCT)의 특허(실용신안)를 기반으로 농식품 관련 전 세계 특허동향 및 국내 특허동향을 을 분석하였습니다.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;담당 : 기술평가팀 김정은 (jekim@efact.or.kr, 031-8012-7244)",(발송용)_(FACT)농식품분야 최신특허동향(`16.7.1~`16.7.31).pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=714&file_seq=1,2016.09.12,김정은,714,[FACT]농·식품분야 최신특허 동향(`16.8월),874

"본 보고서는 농업기술실용화재단에서 작성하였으며,
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.
&nbsp;
&nbsp;
향후 연구개발 방향 설정에 도움이 되고자 최근 공개 또는 등록된 한국, 미국, 일본, 중국, 유럽, 국제출원(PCT)의 특허(실용신안)를 기반으로 농식품 관련 전 세계 특허동향 및 국내 특허동향을 을 분석하였습니다.
&nbsp;
&nbsp;
&nbsp;
&nbsp;
담당 : 기술평가팀 김정은 (jekim@efact.or.kr, 031-8012-7244)",(발송용)_[FACT]농·식품분야 최신특허 동향(`16.6.1~`16.6.30).pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=712&file_seq=1,2016.08.05,김정은,712,[FACT]농·식품분야 최신특허 동향(`16.7월),767

"본 보고서는 농업기술실용화재단에서 작성하였으며,
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
국내 농식품분야 융복합 특허기술(&rsquo;16.6월), 농업기술실용화재단 박진구/김정은&nbsp;
&nbsp;
&nbsp;
&nbsp;
농식품 기술과 관련하여 전 세계 특허동향 및 경쟁현황을 파악하고 향후 연구개발 방향 결정에 도움이 되고자
최근 공개 또는 등록된 한국, 미국, 일본, 중국, 유럽, 국제출원(PCT)의 특허(실용신안)을 분석하였다. 
&nbsp;
&nbsp;
&nbsp;
&nbsp;
담당 : 기술평가팀 박진구 (jgpark@efact.or.kr, 031-8012-7201) / 김정은 (jekim@efact.or.kr, 031-8012-7244)",(발송용)_[FACT]농·식품분야 최신특허 동향(`16.5.1~`16.5.30).pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=711&file_seq=1,2016.07.11,김정은,711,[FACT]농·식품분야 최신특허 동향(`16.6월),732

"본 보고서는 농업기술실용화재단에서 작성하였으며,
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.
&nbsp;
&nbsp;
국내 농&bull;식품분야 융&bull;복합 특허기술(&rsquo;16.4월), 농업기술실용화재단 박진구
&nbsp;
농식품 기술과 관련하여 전 세계 특허동향 및 경쟁현황을 파악하고 향후 연구개발 방향 결정에 도움이 되고자
최근 공개 또는 등록된 한국, 미국, 일본, 중국, 유럽, 국제출원(PCT)의 특허(실용신안)을 분석하였다. 
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
담당 : 기술평가팀 박진구 (jgpark@efact.or.kr, 031-8012-7201)",(발송용)_[FACT]농·식품분야 최신특허 동향(`16.5월).pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=710&file_seq=1,2016.06.08,박진구,710,[FACT]농·식품분야 최신특허 동향(`16.5월),985

"본 보고서는 농업기술실용화재단에서 작성하였으며,
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.
&nbsp;
국내 농&bull;식품분야 융&bull;복합 특허기술(&rsquo;16.4월), 농업기술실용화재단 박진구
&nbsp;
농식품 기술과 관련하여 전 세계 특허동향 및 경쟁현황을 파악하고 향후 연구개발 방향 결정에 도움이 되고자 최근 공개 또는 등록된 한국, 미국, 일본, 중국, 유럽, 국제출원(PCT)의 특허(실용신안)을 분석하였다. 분석대상은 농업,식품,축산업,수산업, 임업, 융복합 분야를 대상으로 하였다. 
&nbsp;
담당 : 기술평가팀 박진구 (jgpark@efact.or.kr, 031-8012-7201)",(발송용)_[FACT]농·식품분야 최신특허 동향(`16.3.1~`16.3.31).pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=709&file_seq=1,2016.05.04,박진구,709,[FACT]농·식품분야 최신특허 동향(`16.4월),907

"본 보고서는 농업기술실용화재단에서 작성하였으며,
담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.
&nbsp;
국내 농&bull;식품분야 융&bull;복합 특허기술(&rsquo;16.2월), 농업기술실용화재단 박진구
&nbsp;
농식품 기술과 관련하여 전 세계 특허동향 및 경쟁현황을 파악하고 향후 연구개발 방향 결정에 도움이 되고자 2016. 1월 공개 또는 등록된 한국, 미국, 일본, 중국, 유럽, 국제출원(PCT)의 특허(실용신안)을 분석하였다. 분석대상은 농업,식품,축산업,수산업, 임업, 융복합 분야를 대상으로 하였다. 
&nbsp;
담당 : 기술평가팀 박진구 (jgpark@efact.or.kr, 031-8012-7201)",[FACT]농·식품분야 최신특허 동향(`16.3월).pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=708&file_seq=1,2016.03.31,박진구,708,[FACT]농·식품분야 최신특허 동향(`16.3월),852

"본 보고서는 농업기술실용화재단에서 작성하였으며,담당 연구원의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.
&nbsp;
국내 농&bull;식품분야 융&bull;복합 특허기술(&rsquo;16.2월)
농업기술실용화재단 박진구
&nbsp;
농식품 기술과 관련하여 전 세계 특허동향 및 경쟁현황을 파악하고 향후 연구개발 방향 결정에 도움이 되고자 2016. 1월 공개 또는 등록된 한국, 미국, 일본, 중국, 유럽, 국제출원(PCT)의 특허(실용신안)을 분석하였다. 분석대상은 농업,식품,축산업,수산업, 임업, 융복합 분야를 대상으로 하였다. 
&nbsp;
담당 : 기술평가팀 박진구 031-8012-7201",2_[FACT]농·식품분야 최신특허 동향(`16.2월).pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=707&file_seq=1,2016.03.03,박진구,707,[FACT]농·식품분야 최신특허 동향(`16.2월),860

"본 보고서는 농업기술실용화재단에서 작성하였으며,담당 연구원들의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.
&nbsp;
&nbsp;
국내 농&bull;식품분야 융&bull;복합 특허기술(&rsquo;16.1월)
농업기술실용화재단 박진구
전 세계 특허동향 및 경쟁현황을 파악하고 향후 연구개발 방향 결정에 도움이 되고자 2015. 12월 공개 또는 등록된 한국, 미국, 일본, 중국, 유럽, 국제출원(PCT)의 특허(실용신안)을 분석하였다. 분석대상은 농업,식품,축산업,수산업, 임업, 융복합 분야를 대상으로 하였다. 
&nbsp;
담당 : 기술평가팀 박진구 031-8012-7201",[FACT]농·식품분야 최신특허 동향(`16.1월).pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=706&file_seq=1,2016.02.04,박진구,706,[FACT]농·식품분야 최신특허 동향(`16.1월),758

"본 산업동향 보고서는 농업기술실용화재단에서 작성하였으며,
담당 연구원들의 개인적인 견해가 반영된 것으로서 재단의 공식적인 의견이 아님을 밝혀드립니다.


봉독분야 주요기술동향 및 사업화가능성 탐색


2012년 양봉산물 생산액을 기준으로 한 국내 꿀벌산업의 규모는 4,000억원 수준으로, 2008년 3,400억원, 2010년 4,500억원(△30.3%)의 증가추세가 주춤한 상황이다. 꿀벌산업의 공익적 가치(농산물 생산기여효과)가 양봉산물 생산가치의 100배에 달하는 중요한 산업이지만 그 성장이 정체되어 있음을 고려할 때 향후 &lsquo;지속가능한, 신 녹색성장을 주도하는 생명산업&rsquo;으로의 양봉산업의 존립과 성장에 대한 국가적 관심과 계획이 절실하다. 
&nbsp;전통적으로 국내 꿀벌산업은 꿀, 화분, 로열젤리, 밀랍, 프로폴리스 등 &lt;1차 생산물&gt;을 중심으로 전개되어 왔고, 국내산 양봉산물의 성분이나 효능, 인체 작용기전에 대한 연구 등 부가가치를 제고하기 위한 사업화 노력이 부족했던 것으로 평가되고 있다. 다만 봉독(bee venom)의 경우 전체 양봉산업 중 차지하는 비중이 1%도 되지 않지만, 이를 소재로 인체의약품, 동물의약품, 기능성 화장품 등의 분야에서 꾸준히 연구가 진행되고 있으며 가시적 성과가 곧 나타날 것으로 예상된다.
담당 : 기술동향분석팀 김수연 연구원 031-8012-7224

&nbsp;",봉독분야 주요기술동향 및 사업화가능성 탐색-팩트메거진_1월호.pdf,http://www.fact.or.kr/action.do?action=farmtech%24file&seq=705&file_seq=1,2015.03.31,김수연,705,[FACT]봉독분야 주요기술동향 및 사업화가능성 탐색,1097

"우리나라 곡물 수급 현황 및 식량자급률 제고방안
국립식량과학원 GSP식량종자사업단장 최임수


